# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000032 003125.0  008256 000258.0 00064 010036 100.4 072.3  004160 000130.0 00032 010969 109.7 079.0  002112 000066.0 00016 000891 008.9 006.4  001088 000034.0 00008 001003 010.0 007.2
000000040 002500.0  008256 000322.5 00080 010947 109.5 078.8  004160 000162.5 00040 010976 109.8 079.0  002112 000082.5 00020 001121 011.2 008.1  001088 000042.5 00010 000896 009.0 006.5
000000048 002083.3  008256 000387.0 00096 010954 109.5 078.9  004160 000195.0 00048 009486 094.9 068.3  002112 000099.0 00024 001200 012.0 008.6  001088 000051.0 00012 001068 010.7 007.7
000000064 001562.5  008256 000516.0 00129 008769 087.7 063.1  004160 000260.0 00065 008608 086.1 062.0  002112 000132.0 00033 006805 068.0 049.0  001088 000068.0 00017 000564 005.6 004.1
000000080 001250.0  008256 000645.0 00161 005909 059.1 042.5  004160 000325.0 00081 005909 059.1 042.5  002112 000165.0 00041 003328 033.3 024.0  001088 000085.0 00021 000564 005.6 004.1
000000096 001041.7  008256 000774.0 00193 005904 059.0 042.5  004160 000390.0 00097 005905 059.0 042.5  002112 000198.0 00049 003317 033.2 023.9  001088 000102.0 00025 000564 005.6 004.1
000000128 000781.2  008256 001032.0 00258 005904 059.0 042.5  004160 000520.0 00130 005904 059.0 042.5  002112 000264.0 00066 003344 033.4 024.1  001088 000136.0 00034 001994 019.9 014.4
000000160 000625.0  008256 001290.0 00322 005910 059.1 042.6  004160 000650.0 00162 006104 061.0 043.9  002112 000330.0 00082 003328 033.3 024.0  001088 000170.0 00042 002011 020.1 014.5
000000192 000520.8  008256 001548.0 00387 005910 059.1 042.6  004160 000780.0 00195 006235 062.4 044.9  002112 000396.0 00099 003342 033.4 024.1  001088 000204.0 00051 001994 019.9 014.4
000000256 000390.6  008256 002064.0 00516 005910 059.1 042.6  004160 001040.0 00260 006456 064.6 046.5  002112 000528.0 00132 003342 033.4 024.1  001088 000272.0 00068 001995 019.9 014.4
000000320 000312.5  008256 002580.0 00645 006105 061.0 044.0  004160 001300.0 00325 006833 068.3 049.2  002112 000660.0 00165 003342 033.4 024.1  001088 000340.0 00085 001996 020.0 014.4
000000384 000260.4  008256 003096.0 00774 006235 062.4 044.9  004160 001560.0 00390 006933 069.3 049.9  002112 000792.0 00198 003345 033.5 024.1  001088 000408.0 00102 001995 019.9 014.4
000000512 000195.3  008256 004128.0 01032 006258 062.6 045.1  004160 002080.0 00520 006922 069.2 049.8  002112 001056.0 00264 003353 033.5 024.1  001088 000544.0 00136 002003 020.0 014.4
000000640 000156.2  008256 005160.0 01290 006549 065.5 047.2  004160 002600.0 00650 007315 073.2 052.7  002112 001320.0 00330 003867 038.7 027.8  001088 000680.0 00170 002503 025.0 018.0
000000768 000130.2  008256 006192.0 01548 006785 067.8 048.9  004160 003120.0 00780 007381 073.8 053.1  002112 001584.0 00396 004166 041.7 030.0  001088 000816.0 00204 002739 027.4 019.7
000001024 000097.7  008256 008256.0 02064 007048 070.5 050.7  004160 004160.0 01040 007491 074.9 053.9  002112 002112.0 00528 004534 045.3 032.6  001088 001088.0 00272 002960 029.6 021.3
000001280 000078.1  008256 010320.0 02580 007203 072.0 051.9  004160 005200.0 01300 007562 075.6 054.4  002112 002640.0 00660 004641 046.4 033.4  001088 001360.0 00340 003039 030.4 021.9
000001536 000065.1  008256 012384.0 03096 007284 072.8 052.4  004160 006240.0 01560 007537 075.4 054.3  002112 003168.0 00792 004648 046.5 033.5  001088 001632.0 00408 003148 031.5 022.7
000002048 000048.8  008256 016512.0 04128 007271 072.7 052.4  004160 008320.0 02080 007559 075.6 054.4  002112 004224.0 01056 004655 046.5 033.5  001088 002176.0 00544 003215 032.1 023.1
000002560 000039.1  008256 020640.0 05160 007326 073.3 052.7  004160 010400.0 02600 007557 075.6 054.4  002112 005280.0 01320 004659 046.6 033.5  001088 002720.0 00680 003266 032.7 023.5
000003072 000032.6  008256 024768.0 06192 007762 077.6 055.9  004160 012480.0 03120 007704 077.0 055.5  002112 006336.0 01584 004703 047.0 033.9  001088 003264.0 00816 003278 032.8 023.6
000004096 000024.4  008256 033024.0 08256 013959 139.6 100.5  004160 016640.0 04160 011477 114.8 082.6  002112 008448.0 02112 017835 178.3 128.4  001088 004352.0 01088 012252 122.5 088.2
000005120 000019.5  008256 041280.0 10320 046559 465.6 335.2  004160 020800.0 05200 043597 436.0 313.9  002112 010560.0 02640 036483 364.8 262.7  001088 005440.0 01360 029001 290.0 208.8
